date,close
2026-07-07,516.109985
2026-07-08,517.409973
2026-07-09,546.719971
2026-07-10,557.890015
2026-07-13,534.390015
2026-07-14,548.130005
2026-07-15,529.140015
2026-07-16,500.940002
2026-07-17,495.760010
2026-07-20,503.570007
2026-07-21,544.429993
2026-07-22,552.330017
2026-07-23,539.690002
2026-07-24,521.950012
2026-07-27,494.950012
2026-07-28,454.619995
2026-07-29,429.559998
2026-07-30,485.390015
2026-07-31,476.149994
2026-08-03,484.640015
2026-08-04,518.580017
2026-08-05,482.049988
2026-08-06,489.279999
2026-08-07,483.359985
2026-08-10,469.559998
2026-08-11,474.320007
2026-08-12,482.929993
2026-08-13,483.010010
2026-08-14,514.390015
2026-08-17,506.000000
2026-08-18,484.390015
2026-08-19,466.420013
2026-08-20,469.459991
2026-08-21,473.250000
2026-08-24,456.750000
2026-08-25,479.179993
2026-08-26,480.929993
2026-08-27,476.670013
2026-08-28,465.579987
2026-08-31,470.720001
2026-09-01,459.609985
2026-09-02,457.059998
2026-09-03,456.160004
2026-09-04,477.570007
2026-09-08,505.739990
2026-09-09,521.099976
2026-09-10,509.364990
