date,close
2026-07-06,1744.430054
2026-07-07,1617.699951
2026-07-08,1727.180054
2026-07-09,1858.270020
2026-07-10,1915.920044
2026-07-13,1673.969971
2026-07-14,1757.819946
2026-07-15,1615.000000
2026-07-16,1411.079956
2026-07-17,1354.819946
2026-07-20,1390.949951
2026-07-21,1589.400024
2026-07-22,1599.270020
2026-07-23,1610.329956
2026-07-24,1436.560059
2026-07-27,1278.229980
2026-07-28,1096.099976
2026-07-29,1015.890015
2026-07-30,1279.959961
2026-07-31,1214.829956
2026-08-03,1288.030029
2026-08-04,1427.619995
2026-08-05,1350.500000
2026-08-06,1258.579956
2026-08-07,1212.209961
2026-08-10,1247.280029
