date,close
2026-07-10,168.009995
2026-07-13,152.350006
2026-07-14,193.919998
2026-07-15,176.460007
2026-07-16,152.309998
2026-07-17,154.029999
2026-07-20,151.160004
2026-07-21,171.940002
2026-07-22,165.270004
2026-07-23,169.500000
2026-07-24,154.570007
2026-07-27,143.020004
2026-07-28,130.169998
2026-07-29,126.790001
2026-07-30,149.000000
2026-07-31,143.729996
2026-08-03,142.720001
2026-08-04,154.380005
2026-08-05,151.029999
2026-08-06,143.529999
2026-08-07,137.910004
2026-08-10,135.289993
2026-08-11,141.649994
2026-08-12,154.410004
2026-08-13,165.669998
2026-08-14,166.330002
2026-08-17,171.380005
2026-08-18,155.619995
