date,close
2026-07-07,134.369995
2026-07-08,132.220001
2026-07-09,129.039993
2026-07-10,126.790001
2026-07-13,130.039993
2026-07-14,133.720001
2026-07-15,133.759995
2026-07-16,134.440002
2026-07-17,132.380005
2026-07-20,134.850006
2026-07-21,132.660004
2026-07-22,124.570000
2026-07-23,123.370003
2026-07-24,122.919998
2026-07-27,131.529999
2026-07-28,123.529999
2026-07-29,123.000000
2026-07-30,122.260002
2026-07-31,123.059998
2026-08-03,125.650002
2026-08-04,162.660004
2026-08-05,158.429993
