date,close
2025-04-15,112.199997
2025-04-16,104.489998
2025-04-17,101.489998
2025-04-21,96.910004
2025-04-22,98.889999
2025-04-23,102.709999
2025-04-24,106.430000
2025-04-25,111.010002
2025-04-28,108.730003
2025-04-29,109.019997
2025-04-30,108.919998
2025-05-01,111.610001
2025-05-02,114.500000
2025-05-05,113.820000
2025-05-06,113.540001
2025-05-07,117.059998
2025-05-08,117.370003
2025-05-09,116.650002
2025-05-12,123.000000
2025-05-13,129.929993
2025-05-14,135.339996
2025-05-15,134.830002
2025-05-16,135.399994
2025-05-19,135.570007
2025-05-20,134.380005
2025-05-21,131.800003
2025-05-22,132.830002
2025-05-23,131.289993
2025-05-27,135.500000
2025-05-28,134.809998
2025-05-29,139.190002
2025-05-30,135.130005
2025-06-02,137.380005
2025-06-03,141.220001
2025-06-04,141.919998
2025-06-05,139.990005
2025-06-06,141.720001
2025-06-09,142.630005
2025-06-10,143.960007
2025-06-11,142.830002
2025-06-12,145.000000
2025-06-13,141.970001
2025-06-16,144.690002
2025-06-17,144.119995
2025-06-18,145.479996
2025-06-20,143.850006
2025-06-23,144.169998
2025-06-24,147.899994
2025-06-25,154.309998
2025-06-26,155.020004
2025-06-27,157.750000
2025-06-30,157.990005
2025-07-01,153.300003
2025-07-02,157.250000
2025-07-03,159.339996
2025-07-07,158.240005
2025-07-08,160.000000
2025-07-09,162.880005
2025-07-10,164.100006
2025-07-11,164.919998
2025-07-14,164.070007
2025-07-15,170.699997
2025-07-16,171.369995
2025-07-17,173.000000
2025-07-18,172.410004
2025-07-21,171.380005
2025-07-22,167.029999
2025-07-23,170.779999
2025-07-24,173.740005
2025-07-25,173.500000
2025-07-28,176.750000
2025-07-29,175.509995
2025-07-30,179.270004
2025-07-31,177.869995
2025-08-01,173.720001
2025-08-04,180.000000
2025-08-05,178.259995
2025-08-06,179.419998
2025-08-07,180.770004
2025-08-08,182.699997
2025-08-11,182.059998
2025-08-12,183.160004
2025-08-13,181.589996
2025-08-14,182.020004
2025-08-15,180.449997
2025-08-18,182.009995
2025-08-19,175.639999
2025-08-20,175.399994
2025-08-21,174.979996
2025-08-22,177.990005
2025-08-25,179.809998
2025-08-26,181.770004
2025-08-27,181.600006
2025-08-28,180.169998
2025-08-29,174.179993
2025-09-02,170.779999
2025-09-03,170.619995
2025-09-04,171.660004
2025-09-05,167.020004
2025-09-08,168.309998
2025-09-09,170.759995
2025-09-10,177.330002
2025-09-11,177.169998
2025-09-12,177.820007
2025-09-15,177.750000
2025-09-16,174.880005
2025-09-17,170.289993
2025-09-18,176.240005
2025-09-19,176.669998
2025-09-22,183.610001
2025-09-23,178.429993
2025-09-24,176.970001
2025-09-25,177.690002
2025-09-26,178.190002
2025-09-29,181.850006
2025-09-30,186.580002
2025-10-01,187.240005
2025-10-02,188.889999
2025-10-03,187.619995
2025-10-06,185.539993
2025-10-07,185.039993
2025-10-08,189.110001
2025-10-09,192.570007
2025-10-10,183.160004
2025-10-13,188.320007
2025-10-14,180.029999
2025-10-15,179.830002
2025-10-16,181.809998
2025-10-17,183.220001
2025-10-20,182.639999
2025-10-21,181.160004
2025-10-22,180.279999
2025-10-23,182.160004
2025-10-24,186.259995
2025-10-27,191.490005
2025-10-28,201.029999
2025-10-29,207.039993
2025-10-30,202.889999
2025-10-31,202.490005
2025-11-03,206.880005
2025-11-04,198.690002
2025-11-05,195.210007
2025-11-06,188.080002
2025-11-07,188.149994
2025-11-10,199.050003
2025-11-11,193.160004
2025-11-12,193.800003
2025-11-13,186.860001
2025-11-14,190.169998
2025-11-17,186.600006
2025-11-18,181.360001
2025-11-19,186.520004
2025-11-20,180.639999
2025-11-21,178.880005
2025-11-24,182.550003
2025-11-25,177.820007
2025-11-26,180.259995
2025-11-28,177.000000
2025-12-01,179.919998
2025-12-02,181.460007
2025-12-03,179.589996
2025-12-04,183.380005
2025-12-05,182.410004
2025-12-08,185.550003
2025-12-09,184.970001
2025-12-10,183.779999
2025-12-11,180.929993
2025-12-12,175.020004
2025-12-15,176.289993
2025-12-16,177.720001
2025-12-17,170.940002
2025-12-18,174.139999
2025-12-19,180.990005
2025-12-22,183.690002
2025-12-23,189.210007
2025-12-24,188.610001
2025-12-26,190.529999
2025-12-29,188.220001
2025-12-30,187.539993
2025-12-31,186.500000
2026-01-02,188.850006
2026-01-05,188.119995
2026-01-06,187.240005
2026-01-07,189.110001
2026-01-08,185.039993
2026-01-09,184.860001
2026-01-12,184.940002
2026-01-13,185.809998
2026-01-14,183.139999
2026-01-15,187.050003
2026-01-16,186.229996
2026-01-20,178.070007
2026-01-21,183.320007
2026-01-22,184.839996
2026-01-23,187.669998
2026-01-26,186.470001
2026-01-27,188.520004
2026-01-28,191.520004
2026-01-29,192.509995
2026-01-30,191.130005
2026-02-02,185.610001
2026-02-03,180.339996
2026-02-04,174.190002
2026-02-05,171.880005
2026-02-06,185.410004
2026-02-09,190.039993
2026-02-10,188.539993
2026-02-11,190.050003
