date,close
2026-07-07,615.580017
2026-07-08,603.119995
2026-07-09,631.479980
2026-07-10,669.210022
2026-07-13,656.729980
2026-07-14,661.039978
2026-07-15,681.309998
2026-07-16,664.539978
2026-07-17,646.010010
2026-07-20,645.849976
2026-07-21,643.809998
2026-07-22,627.169983
2026-07-23,606.099976
2026-07-24,595.190002
2026-07-27,593.869995
2026-07-28,593.409973
2026-07-29,585.609985
2026-07-30,539.030029
2026-07-31,556.710022
2026-08-03,590.239990
2026-08-04,587.940002
2026-08-05,588.770020
