date,close
2026-06-24,345.290009
2026-06-25,343.709991
2026-06-26,337.390015
2026-06-29,353.649994
2026-06-30,357.369995
2026-07-01,361.209991
2026-07-02,359.910004
2026-07-06,366.459991
2026-07-07,367.029999
2026-07-08,361.920013
2026-07-09,358.890015
2026-07-10,357.179993
2026-07-13,352.510010
2026-07-14,359.510010
2026-07-15,370.920013
2026-07-16,354.459991
2026-07-17,346.769989
2026-07-20,351.989990
2026-07-21,347.149994
2026-07-22,342.089996
2026-07-23,317.690002
2026-07-24,319.739990
2026-07-27,326.559998
2026-07-28,333.709991
2026-07-29,336.709991
2026-07-30,333.660004
2026-07-31,356.130005
2026-08-03,373.510010
2026-08-04,377.649994
2026-08-05,362.429993
2026-08-06,357.750000
2026-08-07,354.299988
2026-08-10,357.519989
2026-08-11,343.799988
2026-08-12,343.540009
2026-08-13,346.359985
2026-08-14,345.899994
2026-08-17,344.000000
2026-08-18,344.200012
2026-08-19,344.720001
2026-08-20,340.670013
2026-08-21,344.820007
2026-08-24,348.059998
2026-08-25,346.959991
2026-08-26,342.000000
2026-08-27,340.649994
2026-08-28,346.589996
2026-08-31,339.350006
2026-09-01,335.019989
2026-09-02,337.119995
2026-09-03,342.480011
2026-09-04,337.899994
