date,close
2026-06-24,152.750000
2026-06-25,148.059998
2026-06-26,155.089996
2026-06-29,154.899994
2026-06-30,154.110001
2026-07-01,159.149994
2026-07-02,162.589996
2026-07-06,160.490005
2026-07-07,162.770004
2026-07-08,157.419998
2026-07-09,158.460007
2026-07-10,157.860001
2026-07-13,159.970001
2026-07-14,154.809998
2026-07-15,155.910004
2026-07-16,161.639999
2026-07-17,159.039993
2026-07-20,158.350006
2026-07-21,154.339996
2026-07-22,148.750000
2026-07-23,146.380005
2026-07-24,160.000000
2026-07-27,171.009995
2026-07-28,179.169998
2026-07-29,185.990005
2026-07-30,180.880005
2026-07-31,183.619995
2026-08-03,189.649994
2026-08-04,195.490005
2026-08-05,197.330002
