date,close
2026-07-06,249.270004
2026-07-07,230.699997
2026-07-08,231.710007
2026-07-09,243.270004
2026-07-10,235.809998
2026-07-13,217.529999
2026-07-14,222.440002
2026-07-15,206.259995
2026-07-16,188.300003
2026-07-17,188.679993
2026-07-20,194.940002
2026-07-21,207.960007
2026-07-22,210.990005
2026-07-23,209.320007
2026-07-24,194.229996
2026-07-27,189.169998
2026-07-28,174.470001
2026-07-29,163.399994
2026-07-30,183.300003
2026-07-31,187.559998
2026-08-03,193.779999
2026-08-04,218.589996
2026-08-05,211.020004
2026-08-06,210.539993
2026-08-07,218.720001
2026-08-10,208.559998
2026-08-11,212.309998
2026-08-12,217.080002
2026-08-13,222.179993
2026-08-14,222.020004
2026-08-17,234.330002
2026-08-18,216.000000
2026-08-19,237.270004
2026-08-20,251.009995
2026-08-21,237.039993
2026-08-24,229.289993
2026-08-25,242.970001
