date,close
2026-06-24,154.539993
2026-06-25,153.000000
2026-06-26,153.229996
2026-06-29,164.190002
2026-06-30,170.860001
2026-07-01,157.539993
2026-07-02,162.000000
2026-07-06,160.419998
2026-07-07,149.470001
2026-07-08,148.300003
2026-07-09,152.160004
2026-07-10,145.300003
2026-07-13,139.139999
2026-07-14,136.080002
2026-07-15,135.270004
2026-07-16,131.110001
2026-07-17,123.989998
2026-07-20,119.849998
2026-07-21,123.540001
2026-07-22,115.260002
2026-07-23,118.239998
2026-07-24,115.070000
2026-07-27,113.500000
2026-07-28,116.410004
2026-07-29,112.550003
2026-07-30,112.199997
2026-07-31,108.370003
2026-08-03,114.529999
2026-08-04,125.330002
2026-08-05,108.269997
2026-08-06,114.919998
2026-08-07,133.110001
2026-08-10,138.740005
2026-08-11,133.289993
2026-08-12,146.149994
2026-08-13,141.289993
2026-08-14,140.000000
2026-08-17,146.229996
2026-08-18,143.339996
2026-08-19,139.649994
2026-08-20,134.000000
2026-08-21,136.970001
2026-08-24,135.000000
2026-08-25,137.949997
2026-08-26,139.630005
2026-08-27,140.869995
