date,close
2026-07-27,1.136945
2026-07-28,1.138654
2026-07-29,1.146723
2026-07-30,1.152353
2026-08-02,1.154401
2026-08-03,1.150735
2026-08-04,1.153243
2026-08-05,1.155735
2026-08-06,1.152472
2026-08-09,1.155642
2026-08-10,1.154641
2026-08-11,1.154374
2026-08-12,1.153004
2026-08-13,1.153536
2026-08-14,1.157274
2026-08-16,1.157394
2026-08-17,1.158279
2026-08-18,1.157943
2026-08-19,1.167379
2026-08-20,1.168784
2026-08-21,1.167815
2026-08-23,1.168156
2026-08-24,1.166834
2026-08-25,1.167474
2026-08-26,1.165488
2026-08-27,1.165637
2026-08-28,1.158749
2026-08-30,1.158896
2026-08-31,1.161764
2026-09-01,1.159555
2026-09-02,1.158534
2026-09-03,1.162791
2026-09-04,1.161710
