date,close
2025-04-15,35.930000
2025-04-16,35.619999
2025-04-17,36.509998
2025-04-21,35.959999
2025-04-22,36.680000
2025-04-23,37.700001
2025-04-24,40.169998
2025-04-25,40.779999
2025-04-28,40.910000
2025-04-29,40.619999
2025-04-30,43.860001
2025-05-01,43.950001
2025-05-02,44.689999
2025-05-05,45.029999
2025-05-06,44.290001
2025-05-07,44.299999
2025-05-08,44.299999
2025-05-09,44.099998
2025-05-12,46.570000
2025-05-13,49.009998
2025-05-14,49.200001
2025-05-15,49.750000
2025-05-16,49.990002
2025-05-19,50.720001
2025-05-20,50.630001
2025-05-21,49.490002
2025-05-22,49.840000
2025-05-23,50.180000
2025-05-27,51.820000
2025-05-28,52.349998
2025-05-29,52.549999
2025-05-30,51.549999
2025-06-02,52.189999
2025-06-03,53.770000
2025-06-04,54.430000
2025-06-05,55.049999
2025-06-06,55.450001
2025-06-09,57.020000
2025-06-10,55.950001
2025-06-11,55.669998
2025-06-12,55.779999
2025-06-13,55.700001
2025-06-16,57.410000
2025-06-17,58.570000
2025-06-18,59.189999
2025-06-20,59.290001
2025-06-23,60.380001
2025-06-24,62.070000
2025-06-25,62.549999
2025-06-26,63.509998
2025-06-27,63.290001
2025-06-30,63.990002
2025-07-01,63.840000
2025-07-02,65.779999
2025-07-03,66.080002
2025-07-07,65.220001
2025-07-08,64.019997
2025-07-09,64.639999
2025-07-10,65.059998
2025-07-11,66.139999
2025-07-14,66.930000
2025-07-15,67.529999
2025-07-16,66.529999
2025-07-17,67.019997
2025-07-18,68.000000
2025-07-21,68.739998
2025-07-22,67.059998
2025-07-23,69.320000
2025-07-24,69.019997
2025-07-25,68.820000
2025-07-28,68.989998
2025-07-29,70.610001
2025-07-30,71.430000
2025-07-31,78.690002
2025-08-01,76.550003
2025-08-04,77.290001
2025-08-05,75.839996
2025-08-06,73.779999
2025-08-07,74.440002
2025-08-08,74.970001
2025-08-11,74.639999
2025-08-12,75.910004
2025-08-13,76.070000
2025-08-14,76.239998
2025-08-15,75.059998
2025-08-18,76.290001
2025-08-19,75.860001
2025-08-20,75.639999
2025-08-21,74.660004
2025-08-22,76.970001
2025-08-25,79.220001
2025-08-26,79.709999
2025-08-27,80.669998
2025-08-28,82.040001
2025-08-29,80.339996
2025-09-02,81.910004
2025-09-03,86.000000
2025-09-04,90.489998
2025-09-05,92.040001
2025-09-08,93.290001
2025-09-09,94.540001
2025-09-10,95.019997
2025-09-11,96.150002
2025-09-12,97.660004
2025-09-15,102.389999
2025-09-16,103.089996
2025-09-17,100.940002
2025-09-18,105.150002
2025-09-19,106.629997
2025-09-22,112.410004
2025-09-23,110.250000
2025-09-24,109.690002
2025-09-25,107.209999
2025-09-26,106.879997
2025-09-29,116.739998
2025-09-30,120.059998
2025-10-01,130.589996
2025-10-02,131.259995
2025-10-03,131.309998
2025-10-06,125.279999
2025-10-07,119.930000
2025-10-08,121.180000
2025-10-09,119.699997
2025-10-10,115.419998
2025-10-13,118.860001
2025-10-14,113.129997
2025-10-15,120.440002
2025-10-16,125.919998
2025-10-17,126.199997
2025-10-20,121.529999
2025-10-21,121.410004
2025-10-22,120.470001
2025-10-23,125.720001
2025-10-24,129.429993
2025-10-27,126.669998
2025-10-28,124.919998
2025-10-29,141.380005
2025-10-30,138.130005
2025-10-31,150.210007
2025-11-03,158.020004
2025-11-04,152.179993
2025-11-05,160.100006
2025-11-06,163.600006
2025-11-07,162.960007
2025-11-10,174.220001
2025-11-11,169.990005
2025-11-12,166.110001
2025-11-13,157.160004
2025-11-14,157.830002
2025-11-17,162.449997
2025-11-18,152.860001
2025-11-19,153.970001
2025-11-20,140.229996
2025-11-21,139.190002
2025-11-24,150.929993
2025-11-25,155.410004
2025-11-26,157.740005
2025-11-28,163.330002
2025-12-01,163.539993
2025-12-02,159.990005
2025-12-03,155.589996
2025-12-04,161.000000
2025-12-05,168.889999
2025-12-08,169.779999
2025-12-09,169.539993
2025-12-10,181.949997
2025-12-11,187.199997
2025-12-12,176.339996
2025-12-15,172.039993
2025-12-16,174.580002
2025-12-17,166.259995
2025-12-18,175.009995
2025-12-19,181.080002
2025-12-22,176.759995
2025-12-23,178.250000
2025-12-24,179.559998
2025-12-26,181.539993
2025-12-29,179.679993
2025-12-30,176.059998
2025-12-31,172.270004
2026-01-02,187.699997
2026-01-05,187.880005
2026-01-06,219.380005
2026-01-07,199.880005
2026-01-08,187.679993
2026-01-09,200.460007
2026-01-12,212.139999
2026-01-13,214.000000
2026-01-14,215.000000
2026-01-15,222.100006
2026-01-16,221.509995
2026-01-20,222.970001
2026-01-21,241.899994
2026-01-22,243.289993
2026-01-23,236.389999
2026-01-26,240.850006
2026-01-27,252.660004
2026-01-28,279.700012
2026-01-29,278.410004
2026-01-30,250.229996
2026-02-02,270.230011
2026-02-03,290.239990
2026-02-04,269.410004
2026-02-05,260.190002
2026-02-06,282.579987
2026-02-09,285.989990
2026-02-10,262.559998
2026-02-11,273.739990
2026-02-12,284.100006
2026-02-13,281.579987
2026-02-17,284.109985
2026-02-18,296.559998
2026-02-19,284.670013
2026-02-20,285.519989
2026-02-23,280.420013
2026-02-24,270.570007
2026-02-25,290.950012
2026-02-26,282.250000
2026-02-27,279.700012
2026-03-02,270.079987
2026-03-03,250.610001
2026-03-04,261.299988
2026-03-05,259.029999
2026-03-06,245.250000
2026-03-09,262.059998
2026-03-10,266.220001
2026-03-11,268.809998
2026-03-12,261.179993
2026-03-13,272.290009
2026-03-16,286.209991
2026-03-17,313.809998
2026-03-18,304.899994
2026-03-19,316.929993
2026-03-20,293.100006
2026-03-23,294.790009
2026-03-24,301.049988
2026-03-25,296.140015
2026-03-26,273.350006
2026-03-27,275.339996
2026-03-30,251.669998
2026-03-31,270.489990
2026-04-01,297.730011
2026-04-02,294.970001
2026-04-06,304.149994
2026-04-07,311.959991
2026-04-08,338.779999
2026-04-09,337.880005
2026-04-10,343.429993
2026-04-13,350.160004
2026-04-14,366.220001
2026-04-15,365.000000
2026-04-16,361.690002
2026-04-17,372.519989
2026-04-20,374.109985
2026-04-21,383.809998
2026-04-22,389.100006
2026-04-23,403.119995
2026-04-24,404.000000
2026-04-27,400.730011
2026-04-28,390.989990
2026-04-29,412.760010
2026-04-30,434.519989
2026-05-01,431.519989
2026-05-04,442.359985
2026-05-05,465.260010
2026-05-06,483.149994
2026-05-07,463.910004
2026-05-08,480.000000
2026-05-11,515.830017
2026-05-12,488.739990
2026-05-13,494.089996
2026-05-14,489.149994
2026-05-15,482.019989
2026-05-18,458.679993
2026-05-19,455.799988
2026-05-20,459.619995
2026-05-21,486.459991
2026-05-22,484.279999
2026-05-26,524.650024
2026-05-27,530.599976
2026-05-28,531.179993
2026-05-29,531.210022
2026-06-01,546.200012
2026-06-02,563.099976
2026-06-03,594.109985
2026-06-04,575.500000
2026-06-05,511.720001
2026-06-08,526.929993
2026-06-09,517.719971
2026-06-10,490.089996
2026-06-11,529.289978
2026-06-12,562.929993
2026-06-15,653.530029
2026-06-16,681.080017
2026-06-17,712.130005
2026-06-18,746.229980
2026-06-22,732.619995
2026-06-23,670.750000
2026-06-24,643.830017
2026-06-25,675.390015
2026-06-26,586.450012
2026-06-29,651.880005
2026-06-30,638.719971
2026-07-01,598.369995
2026-07-02,539.000000
2026-07-06,577.460022
2026-07-07,532.099976
2026-07-08,550.299988
2026-07-09,578.049988
2026-07-10,582.590027
2026-07-13,555.549988
2026-07-14,563.320007
2026-07-15,513.840027
2026-07-16,466.809998
2026-07-17,477.220001
2026-07-20,498.964996
