date,close
2026-06-24,440.829987
2026-06-25,434.989990
2026-06-26,432.350006
2026-06-29,455.100006
2026-06-30,477.570007
2026-07-01,444.230011
2026-07-02,434.160004
2026-07-06,451.790009
2026-07-07,432.570007
2026-07-08,436.980011
2026-07-09,436.959991
2026-07-10,434.109985
2026-07-13,421.579987
2026-07-14,420.390015
2026-07-15,419.480011
2026-07-16,409.739990
2026-07-17,398.369995
2026-07-20,402.299988
2026-07-21,424.609985
2026-07-22,421.209991
2026-07-23,415.579987
2026-07-24,403.410004
2026-07-27,399.089996
2026-07-28,392.309998
2026-07-29,374.670013
2026-07-30,403.309998
2026-07-31,404.250000
2026-08-03,406.109985
2026-08-04,417.170013
2026-08-05,414.000000
2026-08-06,418.200012
2026-08-07,420.040009
2026-08-10,418.470001
2026-08-11,422.059998
2026-08-12,429.149994
2026-08-13,430.489990
2026-08-14,426.350006
2026-08-17,430.970001
2026-08-18,413.410004
2026-08-19,412.089996
2026-08-20,416.000000
2026-08-21,418.950012
2026-08-24,410.119995
2026-08-25,417.410004
2026-08-26,417.690002
2026-08-27,427.299988
2026-08-28,417.519989
